"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,8,1.7068417640891,0.0144981185216075,1.67854279392123,1.68306469808165,1.6970406855224,1.70680071467914,1.71659809365555,1.73075885325389,1.73537401446025
3,9,1.31883741065387,0.0112733499889008,1.29683346328196,1.30034934576241,1.3112162445871,1.31880528946677,1.32642356060277,1.33743504374768,1.34102389991804
4,10,1.13348997620415,0.00971888176222337,1.11452036914479,1.1175513540862,1.12691963726306,1.13346219879303,1.14003003428767,1.14952334952164,1.15261743985645
5,11,0.964684934835615,0.008649535041103,0.947805731613439,0.950501942147548,0.958836906985363,0.964659083873883,0.970504781904006,0.978956107437602,0.981711046794978
6,12,0.867598705709957,0.00808828993344193,0.851817488321773,0.854337658687015,0.862129623358811,0.867573571164584,0.873040388266902,0.880945488890237,0.88352276049253
7,13,0.814248110205815,0.00787531450645966,0.798885047428002,0.801337818167757,0.808922542730603,0.81422272063312,0.819545999879521,0.827245008324945,0.829755459663591
8,14,0.73395775068951,0.00762514925882386,0.719087905572071,0.721460694260751,0.728800373715552,0.733931344751173,0.7390863419064,0.746544880119287,0.748977658375029
9,15,0.639138679749606,0.0073275678626911,0.624856644659644,0.62713385201497,0.634181165233867,0.639110677046258,0.644065667852754,0.651239027204187,0.653579851632026
10,16,0.696483645727751,0.00797349367661616,0.680942522435725,0.683420515700518,0.691089149419768,0.696453218543996,0.70184497263912,0.709650565593742,0.712197683912647
11,17,0.781439052255302,0.00891865451643013,0.764055419833881,0.766827267451057,0.775405159917975,0.78140512263783,0.787435957109028,0.796166574011749,0.799015503580932
12,18,0.86006842618753,0.00983915732400784,0.840890863837817,0.843948696586133,0.853411722823941,0.860030906589063,0.866684228544378,0.87631613848699,0.879459208972538
13,19,0.967106532359686,0.0107997626267299,0.946053845565002,0.949411331345216,0.959800456642919,0.967066332027755,0.974368784732016,0.98493886028886,0.988387673969768
14,20,1.02731737848926,0.0113468984290106,1.00519680844597,1.00872491364152,1.01964141112379,1.02727560263829,1.03494780499636,1.04605234448557,1.04967535688694
15,21,1.06918383664069,0.0116304986132321,1.0465085435487,1.05012556437282,1.06131636716631,1.06914166504999,1.07700533384734,1.08838595995786,1.09209878705099
16,22,1.06983400129075,0.011579483633888,1.04725757125544,1.05085896441976,1.06200115353477,1.06979222424553,1.07762130688127,1.08895154338038,1.09264784648175
17,23,1.05408886110036,0.0113870742529206,1.03188734427768,1.03542898505568,1.046386209638,1.05404785742155,1.06174681346216,1.07288860434173,1.07652339810898
18,24,1.03731970726101,0.0111889591505574,1.01550428389316,1.0189843755155,1.02975110116822,1.0372794779589,1.04484445841962,1.05579226473515,1.05936375010333
19,25,1.12203266380171,0.0115520102086115,1.09950399917174,1.10309915405209,1.11421949262726,1.12199301905521,1.12980261726962,1.1411014053015,1.1447866259591
20,26,1.2016669786262,0.0118715370245581,1.17851047566227,1.18220694115754,1.19363858220153,1.20162788499524,1.2096527581204,1.22126036793515,1.22504564720107
21,27,1.28455516423853,0.0120782011553955,1.26099007313433,1.26475306490084,1.27638803872856,1.28451730880476,1.29268102259834,1.30448639181001,1.30833538441471
22,28,1.33328677058546,0.0119732686559652,1.30992160153889,1.31365381386037,1.32519150649207,1.33325092971452,1.34134296364659,1.35304198368732,1.35685562014209
23,29,1.43179410157333,0.0119628113376199,1.40844223394677,1.41217401503387,1.42370725062113,1.43176078480361,1.43984463307003,1.45152783455094,1.45533530549116
24,30,1.31341707019784,0.0109722252595743,1.29199885252064,1.29542162660368,1.30599985694546,1.31338651650397,1.32080097609374,1.33151673513489,1.33500892184774
25,31,1.18398600473826,0.0099197356502609,1.1646225174123,1.16771687730018,1.17728023010302,1.18395830149807,1.19066157936916,1.20034963037073,1.20350692715698
26,32,1.09415891734238,0.00917487311909548,1.07624947553403,1.07911145866687,1.08795666063559,1.09413327269891,1.10033321817337,1.10929385215741,1.11221409541796
27,33,1.01084087334598,0.00861828646624271,0.994019044807583,0.996706949824946,1.00501465424891,1.01081638068723,1.01664039237649,1.02505834348611,1.02780189151893
28,34,0.947606144208383,0.00825223016127911,0.931500244280035,0.93407341217267,0.942027119455937,0.947582189461291,0.953159055287307,0.96122058800045,0.963848176861074
29,35,0.924334207116401,0.00814272863843248,0.908442801387325,0.910981514689195,0.918829064911721,0.924310296672089,0.929813283944222,0.93776846018002,0.940361493797984
