date,cases
8/8/2022,1
8/9/2022,0
8/10/2022,0
8/11/2022,0
8/12/2022,0
8/13/2022,0
8/14/2022,0
8/15/2022,0
8/16/2022,0
8/17/2022,1
8/18/2022,0
8/19/2022,0
8/20/2022,2
8/21/2022,0
8/22/2022,0
8/23/2022,0
8/24/2022,0
8/25/2022,0
8/26/2022,0
8/27/2022,1
8/28/2022,0
8/29/2022,1
8/30/2022,0
8/31/2022,0
9/1/2022,1
9/2/2022,0
9/3/2022,0
9/4/2022,2
9/5/2022,3
9/6/2022,1
9/7/2022,3
9/8/2022,3
9/9/2022,1
9/10/2022,0
9/11/2022,0
9/12/2022,5
9/13/2022,1
9/14/2022,1
9/15/2022,3
9/16/2022,1
9/17/2022,4
9/18/2022,2
9/19/2022,2
9/20/2022,6
9/21/2022,0
9/22/2022,6
9/23/2022,3
9/24/2022,8
9/25/2022,2
9/26/2022,2
9/27/2022,2
9/28/2022,0
9/29/2022,1
9/30/2022,0
10/1/2022,0
10/2/2022,5
10/3/2022,3
10/4/2022,2
10/5/2022,0
10/6/2022,0
10/7/2022,2
10/8/2022,1
10/9/2022,2
10/10/2022,1
10/11/2022,0
10/12/2022,2
10/13/2022,1
10/14/2022,1
10/15/2022,0
10/16/2022,1
10/17/2022,4
10/18/2022,3
10/19/2022,12
10/20/2022,13
10/21/2022,7
10/22/2022,12
10/23/2022,6
10/24/2022,4
10/25/2022,4
10/26/2022,0
10/27/2022,0
10/28/2022,0
10/29/2022,1
10/30/2022,0
10/31/2022,0
11/1/2022,1
11/2/2022,2
11/3/2022,0
11/4/2022,3
11/5/2022,1
11/6/2022,0
11/7/2022,0
11/8/2022,0
11/9/2022,0
11/10/2022,0
11/11/2022,1
11/12/2022,0
11/13/2022,0
11/14/2022,0
11/15/2022,0
11/16/2022,0
11/17/2022,0
11/18/2022,0
11/19/2022,1
