week,time,guinea,liberia,sierraleone
2013-12-29,1,2,0,0
2014-01-05,2,0,0,0
2014-01-12,3,0,0,0
2014-01-19,4,5,0,0
2014-01-26,5,3,0,0
2014-02-02,6,5,0,0
2014-02-09,7,3,0,0
2014-02-16,8,5,0,0
2014-02-23,9,9,0,0
2014-03-02,10,8,0,0
2014-03-09,11,27,0,0
2014-03-16,12,17,1,0
2014-03-23,13,28,1,0
2014-03-30,14,27,3,0
2014-04-06,15,27,1,0
2014-04-13,16,16,1,0
2014-04-20,17,10,0,0
2014-04-27,18,12,1,0
2014-05-04,19,11,4,0
2014-05-11,20,8,0,0
2014-05-18,21,27,1,3
2014-05-25,22,50,0,18
2014-06-01,23,28,3,36
2014-06-08,24,34,18,71
2014-06-15,25,18,28,60
2014-06-22,26,24,27,54
2014-06-29,27,4,26,92
2014-07-06,28,6,38,112
2014-07-13,29,8,36,76
2014-07-20,30,43,86,103
2014-07-27,31,27,106,149
2014-08-03,32,21,208,145
2014-08-10,33,44,289,131
2014-08-17,34,78,394,178
2014-08-24,35,104,362,201
2014-08-31,36,105,431,224
2014-09-07,37,95,454,240
2014-09-14,38,83,480,418
2014-09-21,39,130,404,410
2014-09-28,40,105,291,404
2014-10-05,41,143,272,428
2014-10-12,42,115,192,543
2014-10-19,43,95,118,558
2014-10-26,44,95,122,617
2014-11-02,45,162,130,614
2014-11-09,46,100,100,533
2014-11-16,47,170,82,525
2014-11-23,48,93,74,646
2014-11-30,49,122,66,451
2014-12-07,50,88,34,462
2014-12-14,51,203,15,411
2014-12-21,52,109,25,507
2014-12-28,53,78,9,397
2015-01-04,54,57,4,330
2015-01-11,55,22,14,172
2015-01-18,56,48,7,133
2015-01-25,57,48,12,116
2015-02-01,58,71,4,119
2015-02-08,59,61,11,120
2015-02-15,60,39,4,99
2015-02-22,61,53,1,78
2015-03-01,62,59,1,107
2015-03-08,63,93,0,58
2015-03-15,64,46,2,48
2015-03-22,65,55,1,38
2015-03-29,66,21,0,31
2015-04-05,67,31,0,19
2015-04-12,68,17,0,12
2015-04-19,69,22,0,8
2015-04-26,70,9,0,12
2015-05-03,71,7,0,0
2015-05-10,72,31,0,0
2015-05-17,73,7,0,0
