serial_interval,magnitude,R_eff,overdispersion,window_len_fct,NegBin-L,NegBin-Q,Poiss,Q-Poiss
RSV,low,1.5,0.5,long,37,262,0,0
RSV,low,1.5,0.5,short,114,412,0,0
RSV,low,1.5,5,long,1,1,0,0
RSV,low,1.5,5,short,8,28,0,0
RSV,low,2.5,0.5,long,149,300,0,0
RSV,low,2.5,0.5,short,112,424,0,0
RSV,low,2.5,5,long,1,1,0,0
RSV,low,2.5,5,short,1,22,0,0
RSV,high,1.5,0.5,long,101,267,0,0
RSV,high,1.5,0.5,short,136,403,0,0
RSV,high,1.5,5,long,0,1,0,0
RSV,high,1.5,5,short,15,36,0,0
RSV,high,2.5,0.5,long,227,466,0,0
RSV,high,2.5,0.5,short,342,439,0,0
RSV,high,2.5,5,long,1,5,0,0
RSV,high,2.5,5,short,20,34,0,0
measles,low,1.5,0.5,long,39,258,0,0
measles,low,1.5,0.5,short,117,466,0,0
measles,low,1.5,5,long,1,4,0,0
measles,low,1.5,5,short,7,47,0,0
measles,low,2.5,0.5,long,56,253,0,0
measles,low,2.5,0.5,short,93,389,0,0
measles,low,2.5,5,long,0,0,0,0
measles,low,2.5,5,short,4,16,0,0
influenza,low,1.5,0.5,long,95,264,0,0
influenza,low,1.5,0.5,short,68,402,0,0
influenza,low,1.5,5,long,4,5,4,4
influenza,low,1.5,5,short,11,31,4,4
influenza,low,2.5,0.5,long,241,603,0,0
influenza,low,2.5,0.5,short,299,531,0,0
influenza,low,2.5,5,long,0,4,0,0
influenza,low,2.5,5,short,15,34,0,0
