R_eff,overdispersion,magnitude,window_len_fct,NegBin-L,NegBin-Q,Poiss,Q-Poiss
1.5,1.5,low,long,733,725,1000,1000
1.5,1.5,low,short,576,570,1000,1000
1.5,1.5,high,long,737,706,1000,1000
1.5,1.5,high,short,554,538,1000,1000
1.5,6,low,long,999,999,1000,1000
1.5,6,low,short,976,977,1000,1000
1.5,6,high,long,999,999,1000,1000
1.5,6,high,short,980,978,1000,1000
2.5,1.5,low,long,763,711,1000,1000
2.5,1.5,low,short,590,575,1000,1000
2.5,1.5,high,long,747,684,1000,1000
2.5,1.5,high,short,608,557,1000,1000
2.5,6,low,long,1000,998,1000,1000
2.5,6,low,short,978,972,1000,1000
2.5,6,high,long,1000,1000,1000,1000
2.5,6,high,short,984,974,1000,1000
