R_eff,overdispersion,magnitude,window_len_fct,NegBin-L,NegBin-Q,Poiss,Q-Poiss
1.5,1.5,low,long,737,659,1000,1000
1.5,1.5,low,short,593,479,1000,1000
1.5,1.5,high,long,745,634,1000,1000
1.5,1.5,high,short,575,482,1000,1000
1.5,6,low,long,1000,999,1000,1000
1.5,6,low,short,968,933,1000,1000
1.5,6,high,long,1000,996,1000,1000
1.5,6,high,short,973,944,1000,1000
2.5,1.5,low,long,735,633,1000,1000
2.5,1.5,low,short,577,500,1000,1000
2.5,1.5,high,long,757,616,1000,1000
2.5,1.5,high,short,595,469,1000,1000
2.5,6,low,long,998,997,1000,1000
2.5,6,low,short,980,946,1000,1000
2.5,6,high,long,1000,999,1000,1000
2.5,6,high,short,981,956,1000,1000
