R_eff,overdispersion,magnitude,window_len_fct,NegBin-L,NegBin-Q,Poiss,Q-Poiss
1.5,1.5,low,long,42,354,0,0
1.5,1.5,low,short,60,515,0,0
1.5,1.5,high,long,126,337,0,0
1.5,1.5,high,short,186,500,0,0
1.5,6,low,long,0,1,0,0
1.5,6,low,short,5,50,0,0
1.5,6,high,long,0,2,0,0
1.5,6,high,short,22,35,0,0
2.5,1.5,low,long,71,356,0,0
2.5,1.5,low,short,77,477,0,0
2.5,1.5,high,long,192,366,0,0
2.5,1.5,high,short,262,499,0,0
2.5,6,low,long,0,3,0,0
2.5,6,low,short,3,36,0,0
2.5,6,high,long,1,3,0,0
2.5,6,high,short,25,38,0,0
