serial_interval,magnitude,R_eff,overdispersion,window_len_fct,NegBin-L,NegBin-Q,Poiss,Q-Poiss
RSV,low,1.5,0.02,long,45,266,0,0
RSV,low,1.5,0.02,short,129,470,0,0
RSV,low,1.5,0.06,long,7,61,0,0
RSV,low,1.5,0.06,short,54,245,0,0
RSV,low,2.5,0.02,long,1,8,0,0
RSV,low,2.5,0.02,short,39,150,0,0
RSV,low,2.5,0.06,long,0,0,0,0
RSV,low,2.5,0.06,short,4,15,0,0
RSV,high,1.5,0.02,long,0,0,0,0
RSV,high,1.5,0.02,short,6,17,0,0
RSV,high,1.5,0.06,long,0,0,0,0
RSV,high,1.5,0.06,short,0,0,0,0
RSV,high,2.5,0.02,long,0,0,0,0
RSV,high,2.5,0.02,short,1,1,0,0
RSV,high,2.5,0.06,long,0,0,0,0
RSV,high,2.5,0.06,short,0,0,0,0
