R_eff,overdispersion,magnitude,window_len_fct,NegBin-L,NegBin-Q,Poiss,Q-Poiss
1.5,0.02,low,long,56,409,0,0
1.5,0.02,low,short,114,510,0,0
1.5,0.02,high,long,0,1,0,0
1.5,0.02,high,short,9,23,0,0
1.5,0.06,low,long,28,176,0,0
1.5,0.06,low,short,60,292,0,0
1.5,0.06,high,long,0,0,0,0
1.5,0.06,high,short,0,0,0,0
2.5,0.02,low,long,54,188,0,0
2.5,0.02,low,short,55,250,0,0
2.5,0.02,high,long,0,0,0,0
2.5,0.02,high,short,0,1,0,0
2.5,0.06,low,long,6,32,0,0
2.5,0.06,low,short,16,75,0,0
2.5,0.06,high,long,0,0,0,0
2.5,0.06,high,short,0,0,0,0
